timestamp,sbe_receive_time_us,orderbook_update_time_us,arbitrage_detection_time_us,total_processing_time_us,updates_processed,opportunities_found,best_profit_percentage,avg_profit_percentage,symbol
2025-05-18 23:43:22.083,0,89,0,90,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.184,0,116,0,117,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.283,0,55,0,55,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.383,0,72,0,73,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.482,0,11,0,11,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.583,0,21,0,21,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.683,0,44,0,44,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.783,0,34,0,34,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.885,0,60,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:22.984,0,43,0,43,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.083,0,59,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.183,0,40,0,41,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.214,0,31,0,31,1,0,0,0,USDTARS
2025-05-18 23:43:23.282,0,22,0,22,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.383,0,38,0,38,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.485,0,65,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.585,0,62,0,63,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.683,0,49,0,49,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.790,0,65,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.884,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:23.983,0,88,0,89,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.083,0,67,0,68,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.183,0,90,0,90,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.283,0,69,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.383,0,55,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.484,0,63,0,64,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.583,0,43,0,43,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.683,0,56,0,57,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.787,0,45,0,45,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.886,0,55,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:24.986,0,57,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.086,0,61,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.184,0,73,0,74,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.283,0,52,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.383,0,82,0,83,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.482,0,34,0,34,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.583,0,53,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.685,0,66,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.783,0,100,0,101,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.883,0,69,0,70,1,0,0,0,SOLUSDT
2025-05-18 23:43:25.983,0,62,0,63,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.083,0,54,0,55,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.184,0,61,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.283,0,43,0,44,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.384,0,92,0,93,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.483,0,59,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.583,0,69,0,70,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.683,0,58,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.783,0,125,0,126,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.883,0,59,0,59,1,0,0,0,SOLUSDT
2025-05-18 23:43:26.983,0,42,0,43,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.083,0,66,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.184,0,60,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.283,0,39,0,39,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.383,0,70,0,71,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.483,0,14,0,14,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.582,0,23,0,23,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.683,0,54,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.784,0,54,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.883,0,49,0,50,1,0,0,0,SOLUSDT
2025-05-18 23:43:27.984,0,105,0,105,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.086,0,61,0,61,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.183,0,72,0,73,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.283,0,57,0,57,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.384,0,55,0,55,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.486,0,75,0,75,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.583,0,63,0,63,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.685,0,59,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.783,0,51,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.883,0,95,0,96,1,0,0,0,SOLUSDT
2025-05-18 23:43:28.983,0,61,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.083,0,79,0,80,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.187,0,47,0,48,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.222,0,40,0,40,1,0,0,0,USDTARS
2025-05-18 23:43:29.285,0,66,0,66,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.383,0,69,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.483,0,65,0,66,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.584,0,57,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.615,0,34,0,35,1,0,0,0,USDTARS
2025-05-18 23:43:29.683,0,15,0,15,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.783,0,52,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.883,0,135,0,135,1,0,0,0,SOLUSDT
2025-05-18 23:43:29.984,0,59,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.083,0,68,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.183,0,81,0,81,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.283,0,52,0,52,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.383,0,61,0,61,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.483,0,49,0,50,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.583,0,59,0,60,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.683,0,38,0,38,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.784,0,47,0,47,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.884,0,178,0,178,1,0,0,0,SOLUSDT
2025-05-18 23:43:30.984,0,67,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.083,0,39,0,40,1,0,0,0,SOLUSDT
2025-05-18 23:43:31.183,0,60,0,60,1,0,0,0,SOLUSDT
